date,fac_b,total_vehicles,cash,ezpass,violation,autos,small_t,large_t,buses,violationrate,avg_speed,delta,awnd,prcp,snow,snwd,tmax,tmin,severe_event_count,severe_flag,gas_price,ezpass_ratio,high_violation
1/20/2015,GWB Upper,58463,10184,46898,1381,45799,4304,7572,788,0.023621778,null,null,9.17,0,0,0,42,31,0,0,null,0.802182577,0
1/20/2015,Goethals,36142,4684,30269,1189,31646,1801,2342,353,0.032898013,null,null,9.17,0,0,0,42,31,0,0,null,0.837502075,0
1/20/2015,Holland,40826,6600,33280,946,38693,1508,20,605,0.023171508,null,null,9.17,0,0,0,42,31,0,0,null,0.815166805,0
1/20/2015,Lincoln,48388,5444,41787,1157,38294,2864,517,6713,0.023910887,null,null,9.17,0,0,0,42,31,0,0,null,0.86358188,0
1/20/2015,Outerbridge,35547,3401,30835,1311,32655,1229,1561,102,0.036880749,null,null,9.17,0,0,0,42,31,0,0,null,0.867443103,0
1/21/2015,Bayonne,8118,640,7265,213,7365,345,364,44,0.02623799,null,null,5.59,0,0,0,34,22,0,0,null,0.894924858,0
1/21/2015,GWB Lower,46228,5968,38787,1473,45881,104,11,232,0.031863805,null,null,5.59,0,0,0,34,22,0,0,null,0.839036947,0
1/21/2015,GWB PIP,18930,1448,16944,538,18854,9,1,66,0.028420497,null,null,5.59,0,0,0,34,22,0,0,null,0.895087163,0
1/21/2015,GWB Upper,57668,9276,47007,1386,44668,4368,7814,818,0.024034126,null,null,5.59,0,0,0,34,22,0,0,null,0.815131442,0
1/21/2015,Goethals,34421,4187,29137,1098,30074,1657,2341,349,0.031899131,null,null,5.59,0,0,0,34,22,0,0,null,0.846489062,0
1/21/2015,Holland,40149,6164,33058,927,38066,1486,24,573,0.023088993,null,null,5.59,0,0,0,34,22,0,0,null,0.823382899,0
1/21/2015,Lincoln,47768,5198,41372,1198,37616,2839,521,6792,0.025079551,null,null,5.59,0,0,0,34,22,0,0,null,0.86610283,0
1/21/2015,Outerbridge,33827,3140,29358,1329,30999,1136,1570,122,0.039288143,null,null,5.59,0,0,0,34,22,0,0,null,0.867886599,0
1/22/2015,Bayonne,8135,678,7269,188,7366,371,348,50,0.023110018,null,null,7.61,0,0,0,40,30,0,0,null,0.893546404,0
1/22/2015,GWB Lower,50571,6284,42575,1712,50147,100,13,311,0.033853394,null,null,7.61,0,0,0,40,30,0,0,null,0.841885666,0
1/22/2015,GWB PIP,19429,1514,17379,536,19353,10,2,64,0.027587627,null,null,7.61,0,0,0,40,30,0,0,null,0.894487622,0
1/22/2015,GWB Upper,58637,9861,47412,1364,45190,4432,8165,850,0.023261763,null,null,7.61,0,0,0,40,30,0,0,null,0.808567969,0
1/22/2015,Goethals,35340,4250,30030,1060,31158,1629,2187,366,0.029994341,null,null,7.61,0,0,0,40,30,0,0,null,0.849745331,0
1/22/2015,Holland,41225,6296,33909,1020,39121,1496,18,590,0.024742268,null,null,7.61,0,0,0,40,30,0,0,null,0.82253487,0
1/22/2015,Lincoln,49809,5567,42998,1245,39558,2878,577,6796,0.024995483,null,null,7.61,0,0,0,40,30,0,0,null,0.863257644,0
1/22/2015,Outerbridge,34897,3143,30396,1358,32101,1191,1499,106,0.03891452,null,null,7.61,0,0,0,40,30,0,0,null,0.871020432,0
1/23/2015,Bayonne,9127,896,7982,249,8345,354,354,74,0.027281692,null,null,7.16,0,0,0,40,25,3,1,null,0.874548044,0
1/23/2015,GWB Lower,52527,7919,42751,1857,52113,114,15,285,0.035353247,null,null,7.16,0,0,0,40,25,3,1,null,0.813886192,0
1/23/2015,GWB PIP,19314,1754,17040,520,19244,6,1,63,0.026923475,null,null,7.16,0,0,0,40,25,3,1,null,0.882261572,0
1/23/2015,GWB Upper,64002,12040,50298,1664,51438,4423,7270,871,0.025999188,null,null,7.16,0,0,0,40,25,3,1,null,0.785881691,0
1/23/2015,Goethals,38697,5515,31934,1248,34479,1617,2229,372,0.032250562,null,null,7.16,0,0,0,40,25,3,1,null,0.82523193,0
